Log,Question,Mode,Correlation,P-Value,significance
Attempt_duration__Nothing,I enjoyed writing with Blueberry and a group of friends on the tablet,Delta_Social,0.042932944076405,0.870039661767223,-
Attempt_duration__Nothing,I enjoyed writing with Blueberry and a group of friends on the tablet,Delta_Task,0.09759000729485331,0.700062075969013,-
Attempt_duration__Nothing,I enjoyed writing with Blueberry and a group of friends on the tablet,Social,0.017733172553297715,0.9461428493683307,-
Attempt_duration__Nothing,I enjoyed writing with Blueberry and a group of friends on the tablet,Task,-0.21240178058291603,0.39745917528939023,-
Attempt_duration__Nothing,I found it easy to teach Blueberry how to write with a group of friends,Baseline,-0.0430022141299498,0.806240735697644,-
Attempt_duration__Nothing,I found it easy to teach Blueberry how to write with a group of friends,"Delta Logs, Delta_Social",-0.678544369292827,0.0027488580125834584,**
Attempt_duration__Nothing,I found it easy to teach Blueberry how to write with a group of friends,"Delta Logs, Delta_Task",-0.44259145715778747,0.06587316071237535,-
Attempt_duration__Nothing,I found it easy to teach Blueberry how to write with a group of friends,Delta_Social,-0.3748149849427044,0.1382449194571392,-
Attempt_duration__Nothing,I found it easy to teach Blueberry how to write with a group of friends,Delta_Task,-0.6638871857366812,0.0026609235694866375,**
Attempt_duration__Nothing,I found it easy to teach Blueberry how to write with a group of friends,Social,-0.0013190075669142075,0.9959913472872911,-
Attempt_duration__Nothing,I found it easy to teach Blueberry how to write with a group of friends,Task,-0.8443739441063005,1.0489162307812519e-05,***
Attempt_duration__Nothing,I think I helped the group teach Blueberry how to write,Baseline,-0.051840191533374234,0.7674199359494602,-
Attempt_duration__Nothing,I think I helped the group teach Blueberry how to write,"Delta Logs, Delta_Social",-0.6080062157172439,0.009615643108077773,**
Attempt_duration__Nothing,I think I helped the group teach Blueberry how to write,"Delta Logs, Delta_Task",-0.6317844202869007,0.004914208994759203,**
Attempt_duration__Nothing,I think I helped the group teach Blueberry how to write,Delta_Social,-0.47450919878802295,0.0542884565129264,-
Attempt_duration__Nothing,I think I helped the group teach Blueberry how to write,Delta_Task,-0.6741204896875694,0.0021555468886995935,**
Attempt_duration__Nothing,I think I helped the group teach Blueberry how to write,Social,-0.48389645723604197,0.049053909289604215,*
Attempt_duration__Nothing,I think I helped the group teach Blueberry how to write,Task,-0.43693144875265144,0.06982409005968325,-
Attempt_duration__Nothing,I think the robot was a good student,Baseline,0.03863096811562009,0.8256173706777872,-
Attempt_duration__Nothing,I think the robot was a good student,"Delta Logs, Delta_Social",-0.581883753520524,0.014268310977203569,*
Attempt_duration__Nothing,I think the robot was a good student,"Delta Logs, Delta_Task",-0.4769006786376001,0.045380761369594236,*
Attempt_duration__Nothing,I think the robot was a good student,Delta_Social,-0.16186694342537356,0.5348140120972908,-
Attempt_duration__Nothing,I think the robot was a good student,Delta_Task,-0.4769006786376001,0.045380761369594236,*
Attempt_duration__Nothing,I think the robot was a good student,Social,-0.030869491107359835,0.9063762436179994,-
Attempt_duration__Nothing,I think the robot was a good student,Task,-0.33706593624712544,0.17137112367419097,-
Attempt_duration__Nothing,I think the robot was nice,Baseline,,,-
Attempt_duration__Nothing,I think the robot was nice,"Delta Logs, Delta_Social",,,-
Attempt_duration__Nothing,I think the robot was nice,"Delta Logs, Delta_Task",-0.5166529797962822,0.028139908224511293,*
Attempt_duration__Nothing,I think the robot was nice,Delta_Social,,,-
