Log,Question,Mode,Correlation,P-Value,significance
Accepted_or_Rejected__Nothing,I was concentrated when doing the activity with Blueberry and a group of friends,Task,0.24342241556154903,0.33037510952997207,-
Accepted_or_Rejected__Nothing,I would like to redo this activity with Blueberry,Baseline,-0.11628259133127027,0.5059127415113225,-
Accepted_or_Rejected__Nothing,I would like to redo this activity with Blueberry,"Delta Logs, Delta_Social",-0.4100107026249392,0.10214258607389724,-
Accepted_or_Rejected__Nothing,I would like to redo this activity with Blueberry,"Delta Logs, Delta_Task",-0.11272740962014541,0.6560660150283428,-
Accepted_or_Rejected__Nothing,I would like to redo this activity with Blueberry,Delta_Social,-0.18027323553619,0.4887015016284524,-
Accepted_or_Rejected__Nothing,I would like to redo this activity with Blueberry,Delta_Task,-0.11337612096855396,0.6542032183351405,-
Accepted_or_Rejected__Nothing,I would like to redo this activity with Blueberry,Social,,,-
Accepted_or_Rejected__Nothing,I would like to redo this activity with Blueberry,Task,0.23569498597116972,0.3464289478502999,-
Accepted_or_Rejected__Nothing,I would like to redo this activity with a group of friends,Baseline,0.12336137746254001,0.48017904997252014,-
Accepted_or_Rejected__Nothing,I would like to redo this activity with a group of friends,"Delta Logs, Delta_Social",0.05273719154509725,0.8406849257011577,-
Accepted_or_Rejected__Nothing,I would like to redo this activity with a group of friends,"Delta Logs, Delta_Task",-0.018945783129436202,0.9405204728430957,-
Accepted_or_Rejected__Nothing,I would like to redo this activity with a group of friends,Delta_Social,-0.1766663133343933,0.49758349626266474,-
Accepted_or_Rejected__Nothing,I would like to redo this activity with a group of friends,Delta_Task,-0.22961046347413025,0.3593789804354949,-
Accepted_or_Rejected__Nothing,I would like to redo this activity with a group of friends,Social,0.10301327744925143,0.6940003274873203,-
Accepted_or_Rejected__Nothing,I would like to redo this activity with a group of friends,Task,0.22961046347413025,0.3593789804354949,-
Accepted_or_Rejected__Nothing,I wrote well on the tablet,Baseline,0.38018628581795927,0.024267054262798276,*
Accepted_or_Rejected__Nothing,I wrote well on the tablet,"Delta Logs, Delta_Social",0.47692415680733385,0.05290372688604008,-
Accepted_or_Rejected__Nothing,I wrote well on the tablet,"Delta Logs, Delta_Task",-0.3601358414765457,0.14209727211031306,-
Accepted_or_Rejected__Nothing,I wrote well on the tablet,Delta_Social,0.3263178658031978,0.20114319289622165,-
Accepted_or_Rejected__Nothing,I wrote well on the tablet,Delta_Task,-0.0971376836101859,0.7013916468306988,-
Accepted_or_Rejected__Nothing,I wrote well on the tablet,Social,0.46481118641112984,0.06012301524817768,-
Accepted_or_Rejected__Nothing,I wrote well on the tablet,Task,0.18943778309017348,0.45152561834843263,-
Accepted_or_Rejected__Word_length,AverageResponses,Baseline,0.11985603951745788,0.4928362888505161,-
Accepted_or_Rejected__Word_length,AverageResponses,Delta_Social,0.6881620167070454,0.0022590212053367597,**
Accepted_or_Rejected__Word_length,AverageResponses,Delta_Task,0.5346570224201646,0.022253512553832785,*
Accepted_or_Rejected__Word_length,AverageResponses,Social,0.6519871189038863,0.004566154590204576,**
Accepted_or_Rejected__Word_length,AverageResponses,Task,0.5407369695409437,0.020500633763148743,*
Accepted_or_Rejected__Word_length,I enjoyed teaching Blueberry how to write in a group,Baseline,0.0867901665153745,0.6200726753780776,-
Accepted_or_Rejected__Word_length,I enjoyed teaching Blueberry how to write in a group,"Delta Logs, Delta_Social",0.5983672432051761,0.011165073945712855,*
Accepted_or_Rejected__Word_length,I enjoyed teaching Blueberry how to write in a group,"Delta Logs, Delta_Task",0.005236642894500179,0.9835470503142048,-
Accepted_or_Rejected__Word_length,I enjoyed teaching Blueberry how to write in a group,Delta_Social,0.5554350643204997,0.020628341449901298,*
Accepted_or_Rejected__Word_length,I enjoyed teaching Blueberry how to write in a group,Delta_Task,-0.052447933163887496,0.8362564055422714,-
Accepted_or_Rejected__Word_length,I enjoyed teaching Blueberry how to write in a group,Social,0.4328168128517073,0.08268519959242171,-
Accepted_or_Rejected__Word_length,I enjoyed teaching Blueberry how to write in a group,Task,0.09477808716133955,0.7083408140992714,-
Accepted_or_Rejected__Word_length,I enjoyed writing on the tablet,Baseline,0.060653558668657,0.7292537189142646,-
Accepted_or_Rejected__Word_length,I enjoyed writing on the tablet,"Delta Logs, Delta_Social",0.30564976687205925,0.23284893249494643,-
